month,SP500,SP500-diff,SP500-cum,Quant,Quant-cum
2011-01,"1,286.12",1.022646,1.022646,1.0125799,1.0125799
2011-02,"1,327.22",1.031957,1.055326,1.0063115,1.0189708
2011-03,"1,325.83",0.998953,1.054221,1.0446767,1.0644950
2011-04,"1,363.61",1.028495,1.084261,1.0397469,1.1068053
2011-05,"1,345.20",0.986499,1.069622,0.9831795,1.0881883
2011-06,"1,320.64",0.981742,1.050094,1.0103582,1.0994599
2011-07,"1,292.28",0.978526,1.027544,0.9538320,1.0487000
2011-08,"1,218.89",0.943209,0.969188,0.9682035,1.0153550
2011-09,"1,131.42",0.928238,0.899637,0.9617411,0.9765087
2011-10,"1,253.30",1.107723,0.996549,1.2116630,1.1831995
2011-11,"1,246.96",0.994941,0.991508,1.0204541,1.2074008
2011-12,"1,257.60",1.008533,0.999968,0.9506280,1.1477890
2012-01,"1,312.41",1.043583,1.043550,1.0148903,1.1648799
2012-02,"1,365.68",1.040589,1.085907,1.0826221,1.2611248
2012-03,"1,408.47",1.031332,1.119931,1.0155137,1.2806894
2012-04,"1,397.91",0.992503,1.111534,1.0062218,1.2886577
2012-05,"1,310.33",0.937349,1.041896,0.9578246,1.2343080
2012-06,"1,362.16",1.039555,1.083108,1.0677440,1.3179250
2012-07,"1,379.32",1.012598,1.096753,0.9765336,1.2869980
2012-08,"1,406.58",1.019763,1.118428,1.0862327,1.3979793
2012-09,"1,440.67",1.024236,1.145534,1.0334209,1.4447011
2012-10,"1,412.16",0.980211,1.122865,0.9907917,1.4313979
2012-11,"1,416.18",1.002847,1.126062,1.0332605,1.4790069
2012-12,"1,426.19",1.007068,1.134021,1.0127445,1.4978561
2013-01,"1,498.11",1.050428,1.191207,1.0508672,1.5740478
2013-02,"1,514.68",1.011061,1.204383,1.0181126,1.6025579
2013-03,"1,569.19",1.035988,1.247726,1.0799234,1.7306398
2013-04,"1,597.57",1.018086,1.270292,0.9865998,1.7074488
2013-05,"1,630.74",1.020763,1.296667,1.0638495,1.8164686
2013-06,"1,606.28",0.985001,1.277218,0.9863176,1.7916150
2013-07,"1,685.73",1.049462,1.340392,1.0723335,1.9212088
2013-08,"1,632.97",0.968702,1.298440,0.9956651,1.9128805
2013-09,"1,681.55",1.029749,1.337068,1.0347243,1.9793040
2013-10,"1,756.54",1.044596,1.396695,1.0615189,2.1010686
2013-11,"1,805.81",1.028049,1.435872,1.0311769,2.1665734
2013-12,"1,848.36",1.023563,1.469705,1.0034214,2.1739861
2014-01,"1,782.59",0.964417,1.417409,0.9931703,2.1591383
2014-02,"1,859.45",1.043117,1.478523,1.1038524,2.3833700
2014-03,"1,872.34",1.006932,1.488773,0.9809876,2.3380565
2014-04,"1,883.95",1.006201,1.498004,0.9439363,2.2069765
2014-05,"1,923.57",1.021030,1.529508,1.0442598,2.3046570
2014-06,"1,960.23",1.019058,1.558657,1.0407811,2.3986433
2014-07,"1,930.67",0.984920,1.535153,0.9709494,2.3289614
2014-08,"2,003.37",1.037655,1.592960,1.0592255,2.4668953
2014-09,"1,972.29",0.984486,1.568247,0.9694259,2.3914722
2014-10,"2,018.05",1.023201,1.604632,1.0246209,2.4503524
2014-11,"2,067.56",1.024534,1.644000,1.0331918,2.5316840
2014-12,"2,058.90",0.995811,1.637114,0.9897769,2.5058025
2015-01,"1,994.99",0.968959,1.586297,0.9561849,2.3960106
2015-02,"2,104.50",1.054893,1.673372,1.0517417,2.5199842
2015-03,"2,067.89",0.982604,1.644262,1.0319574,2.6005163
2015-04,"2,085.51",1.008521,1.658273,0.9742295,2.5334996
2015-05,"2,107.39",1.010491,1.675670,1.0231795,2.5922249
2015-06,"2,063.11",0.978988,1.640461,1.0099456,2.6180060
2015-07,"2,103.84",1.019742,1.672848,0.9975565,2.6116088
2015-08,"1,972.18",0.937419,1.568159,0.9503357,2.4819052
2015-09,"1,920.03",0.973557,1.526693,0.9881249,2.4524322
2015-10,"2,079.36",1.082983,1.653383,1.0290457,2.5236648
2015-11,"2,080.41",1.000505,1.654217,0.9606096,2.4242566
2015-12,"2,043.94",0.982470,1.625219,0.9799953,2.3757600
2016-01,"1,940.24",0.949265,1.542763,0.9373099,2.2268233
2016-02,"1,932.23",0.995872,1.536394,0.9876587,2.1993415
2016-03,"2,059.74",1.065991,1.637782,1.0515216,2.3126550
2016-04,"2,065.30",1.002699,1.642203,1.0081461,2.3314942
2016-05,"2,096.96",1.015329,1.667377,1.0239116,2.3872439
2016-06,"2,098.86",1.000906,1.668888,0.9818484,2.3439116
2016-07,"2,173.60",1.035610,1.728317,1.0294268,2.4128854
2016-08,"2,170.95",0.998781,1.726209,0.9826041,2.3709110
2016-09,"2,168.27",0.998766,1.724078,0.9985980,2.3675870
2016-10,"2,126.15",0.980574,1.690587,0.9601739,2.2732953
2016-11,"2,198.81",1.034174,1.748362,1.0666198,2.4247417
2016-12,"2,238.83",1.018201,1.780184,1.0201754,2.4736618
2017-01,"2,278.87",1.017884,1.812021,1.0231803,2.5310020
2017-02,"2,363.64",1.037198,1.879425,1.0493987,2.6560302
2017-03,"2,362.72",0.999611,1.878693,1.0134928,2.6918675
2017-04,"2,384.20",1.009091,1.895773,1.0271617,2.7649832
2017-05,"2,411.80",1.011576,1.917719,1.0280469,2.8425323
2017-06,"2,423.41",1.004814,1.926950,0.9693084,2.7552903
2017-07,"2,470.30",1.019349,1.964235,0.9980597,2.7499443
2017-08,"2,471.65",1.000546,1.965308,1.0300784,2.8326583
2017-09,"2,519.36",1.019303,2.003244,1.0528902,2.9824781
2017-10,"2,575.26",1.022188,2.047693,1.0790496,3.2182419
